,datetime,open,high,low,close,volume
0,1593561600000,1.1246,1.1246,1.1246,1.1246,0.0
1,1593565200000,1.1259,1.1259,1.1259,1.1259,25.99
2,1593568800000,1.1259,1.1259,1.1259,1.1259,0.0
3,1593572400000,1.126,1.126,1.126,1.126,33.22
4,1593576000000,1.126,1.126,1.126,1.126,0.0
5,1593579600000,1.1254,1.1279,1.1254,1.1279,104.05
6,1593583200000,1.1307,1.1307,1.1307,1.1307,69.22
7,1593586800000,1.1318,1.1318,1.1318,1.1318,27.41
8,1593590400000,1.1318,1.1318,1.1318,1.1318,4.64
9,1593594000000,1.1318,1.1318,1.1318,1.1318,0.0
10,1593597600000,1.1318,1.1318,1.1318,1.1318,0.0
11,1593601200000,1.1347,1.1347,1.1347,1.1347,29.61
12,1593604800000,1.138,1.138,1.138,1.138,1358.47
13,1593608400000,1.1418,1.1418,1.1418,1.1418,47.78
14,1593612000000,1.14,1.14,1.14,1.14,295.33
15,1593615600000,1.1531,1.1544,1.1528,1.1528,416.5
16,1593619200000,1.1523,1.165,1.1522,1.1646,1959.28
17,1593622800000,1.1615,1.1615,1.1608,1.1608,82.58
18,1593626400000,1.158,1.1596,1.1566,1.1566,379.16
19,1593630000000,1.1552,1.1552,1.1552,1.1552,97.99
20,1593633600000,1.1552,1.1552,1.1552,1.1552,0.0
21,1593637200000,1.1485,1.1485,1.1485,1.1485,39.41
22,1593640800000,1.1472,1.1472,1.1472,1.1472,64.78
23,1593644400000,1.1549,1.1574,1.1549,1.1574,102.37
24,1593648000000,1.1574,1.1574,1.1574,1.1574,0.0
25,1593651600000,1.1495,1.1495,1.1494,1.1494,404.68
26,1593655200000,1.1494,1.1494,1.1494,1.1494,0.0
27,1593658800000,1.1526,1.1526,1.1526,1.1526,261.45
28,1593662400000,1.1526,1.1526,1.1526,1.1526,0.0
29,1593666000000,1.1526,1.1526,1.1526,1.1526,0.0
30,1593669600000,1.1406,1.1406,1.1406,1.1406,30.88
31,1593673200000,1.1406,1.1406,1.1406,1.1406,0.0
32,1593676800000,1.1406,1.1406,1.1406,1.1406,0.0
33,1593680400000,1.1438,1.1438,1.143,1.143,134.8
34,1593684000000,1.1452,1.1614,1.1452,1.1614,467.41
35,1593687600000,1.1639,1.1783,1.1639,1.1783,1601.34
36,1593691200000,1.181,1.1843,1.1666,1.1802,1232.43
37,1593694800000,1.1768,1.18,1.1674,1.1674,1263.34
38,1593698400000,1.163,1.1756,1.163,1.1697,415.41
39,1593702000000,1.1572,1.1572,1.1386,1.1403,903.79
40,1593705600000,1.1307,1.1307,1.113,1.1198,2399.12
41,1593709200000,1.1198,1.1198,1.1198,1.1198,0.0
42,1593712800000,1.1359,1.1388,1.1359,1.1388,140.37
43,1593716400000,1.1388,1.1388,1.1388,1.1388,0.0
44,1593720000000,1.1388,1.1388,1.1388,1.1388,0.0
45,1593723600000,1.1388,1.1388,1.1388,1.1388,0.0
46,1593727200000,1.1329,1.1329,1.1329,1.1329,264.1
47,1593730800000,1.1283,1.1283,1.1283,1.1283,39.56
48,1593734400000,1.1283,1.1283,1.1283,1.1283,0.0
49,1593738000000,1.1283,1.1283,1.1283,1.1283,0.0
50,1593741600000,1.1283,1.1283,1.1283,1.1283,0.0
51,1593745200000,1.1283,1.1283,1.1283,1.1283,0.0
52,1593748800000,1.1286,1.1286,1.1286,1.1286,58.61
53,1593752400000,1.1286,1.1286,1.1286,1.1286,0.0
54,1593756000000,1.1286,1.1286,1.1286,1.1286,0.0
55,1593759600000,1.1286,1.1286,1.1286,1.1286,0.0
56,1593763200000,1.1317,1.1317,1.1293,1.1293,99.31
57,1593766800000,1.1293,1.1293,1.1293,1.1293,0.0
58,1593770400000,1.1293,1.1293,1.1293,1.1293,0.0
59,1593774000000,1.126,1.126,1.126,1.126,424.8
60,1593777600000,1.126,1.126,1.126,1.126,0.0
61,1593781200000,1.126,1.126,1.126,1.126,0.0
62,1593784800000,1.126,1.126,1.126,1.126,0.0
