,datetime,open,high,low,close,volume
0,1593561600000,51.18,51.45,51.18,51.22,39.36746
1,1593565200000,51.47,51.47,51.47,51.47,0.84809
2,1593568800000,51.43,51.58,51.43,51.58,11.52356
3,1593572400000,51.35,51.58,51.28,51.28,52.64803
4,1593576000000,51.54,51.76,51.54,51.76,20.97967
5,1593579600000,51.84,52.32,51.84,52.04,185.15774
6,1593583200000,52.06,52.06,51.22,51.51,544.53044
7,1593586800000,51.55,51.7,51.48,51.49,133.86926
8,1593590400000,51.79,52.05,51.77,51.77,15.90454
9,1593594000000,51.89,51.97,51.85,51.93,27.87594
10,1593597600000,51.85,51.85,51.85,51.85,1.42795
11,1593601200000,51.65,51.8,51.57,51.6,31.88975
12,1593604800000,51.54,51.54,51.54,51.54,1.505
13,1593608400000,51.62,52.02,51.51,51.74,45.89809
14,1593612000000,51.86,52.07,51.85,52.07,31.70307
15,1593615600000,51.99,52.22,51.99,52.22,14.6029
16,1593619200000,52.11,52.26,52.11,52.26,2.79102
17,1593622800000,52.38,52.38,52.35,52.35,8.76937
18,1593626400000,52.36,52.39,52.18,52.18,22.39069
19,1593630000000,52.11,52.27,52.06,52.06,18.68701
20,1593633600000,51.82,51.92,51.67,51.77,70.91629
21,1593637200000,51.8,51.84,51.77,51.84,26.44286
22,1593640800000,51.64,51.73,51.63,51.67,41.68968
23,1593644400000,51.87,51.89,51.74,51.74,22.62477
24,1593648000000,51.88,52.03,51.74,51.74,36.79548
25,1593651600000,51.59,51.94,51.59,51.92,29.54866
26,1593655200000,51.97,52.03,51.96,52.0,7.99563
27,1593658800000,51.97,52.18,51.96,51.96,84.9997
28,1593662400000,52.07,52.08,52.01,52.04,17.30227
29,1593666000000,52.51,53.59,52.51,52.68,428.85276
30,1593669600000,52.63,52.8,52.39,52.46,46.20491
31,1593673200000,52.68,52.68,52.68,52.68,1.6831
32,1593676800000,52.55,52.55,52.21,52.48,31.29611
33,1593680400000,52.76,52.76,52.64,52.64,1.57199
34,1593684000000,52.53,52.53,52.14,52.14,52.39755
35,1593687600000,51.99,51.99,51.74,51.85,34.01131
36,1593691200000,51.89,52.4,51.89,52.4,36.71968
37,1593694800000,52.36,52.58,52.36,52.41,22.32947
38,1593698400000,52.62,52.62,52.13,52.13,39.13034
39,1593702000000,51.9,51.9,50.32,50.66,518.76908
40,1593705600000,50.45,50.81,49.76,50.64,335.15865
41,1593709200000,50.68,51.04,50.44,50.96,109.02471
42,1593712800000,50.83,51.19,50.65,50.97,105.88085
43,1593716400000,50.98,51.14,50.77,50.78,109.47261
44,1593720000000,50.9,51.31,50.83,51.31,40.99887
45,1593723600000,51.38,51.74,51.36,51.46,60.61927
46,1593727200000,51.49,51.62,51.35,51.35,45.07461
47,1593730800000,51.14,51.26,51.14,51.26,52.19817
48,1593734400000,51.02,51.31,50.96,51.31,100.78311
49,1593738000000,51.34,51.34,51.34,51.34,3.24195
50,1593741600000,51.5,51.5,51.02,51.16,72.39445
51,1593745200000,51.15,51.2,51.01,51.13,29.01556
52,1593748800000,50.86,51.04,50.86,51.04,30.3612
53,1593752400000,51.02,51.47,51.02,51.44,132.08117
54,1593756000000,51.66,51.82,51.13,51.13,130.15394
55,1593759600000,51.06,51.28,50.8,51.13,199.07254
56,1593763200000,51.28,51.54,51.28,51.29,184.33073
57,1593766800000,50.99,51.03,50.6,51.02,203.52862
58,1593770400000,50.97,51.19,50.97,51.19,15.12809
59,1593774000000,50.98,51.14,50.98,51.14,42.99909
60,1593777600000,51.19,51.19,51.06,51.06,15.44418
61,1593781200000,51.21,51.32,51.12,51.14,5.04296
62,1593784800000,51.01,51.1,51.01,51.07,28.01934
63,1593788400000,51.39,51.4,51.27,51.27,51.66337
64,1593792000000,51.54,51.54,51.24,51.39,30.11082
65,1593795600000,51.27,51.44,51.26,51.39,90.09937
66,1593799200000,51.42,51.58,51.37,51.5,29.01905
67,1593802800000,51.32,51.32,51.16,51.22,15.07202
68,1593806400000,51.18,51.31,51.12,51.29,12.2727
69,1593810000000,51.3,51.58,51.3,51.58,8.86087
70,1593813600000,51.42,51.48,51.11,51.31,173.5737
71,1593817200000,51.12,51.21,51.07,51.12,46.98064
72,1593820800000,51.11,51.22,51.08,51.13,57.49155
73,1593824400000,51.12,51.17,51.12,51.16,21.10753
74,1593828000000,51.24,51.43,51.24,51.42,44.62089
75,1593831600000,51.44,51.44,51.37,51.4,4.46212
76,1593835200000,51.33,51.33,51.29,51.29,2.67119
77,1593838800000,51.33,51.38,51.28,51.38,17.48152
78,1593842400000,51.38,51.38,51.38,51.38,0.0
79,1593846000000,51.25,51.25,51.23,51.23,2.73828
80,1593849600000,51.23,51.23,51.23,51.23,5.45562
81,1593853200000,51.14,51.2,51.11,51.12,6.11
82,1593856800000,51.09,51.09,51.05,51.05,3.07685
83,1593860400000,51.08,51.14,51.0,51.0,3.87235
84,1593864000000,51.03,51.03,50.77,50.91,234.9851
85,1593867600000,50.93,51.12,50.93,50.93,31.50224
86,1593871200000,51.03,51.03,51.03,51.03,2.47171
87,1593874800000,50.68,50.81,50.68,50.81,43.52221
88,1593878400000,50.76,50.76,50.69,50.69,26.84276
89,1593882000000,50.79,51.74,50.79,51.62,197.75897
90,1593885600000,51.65,51.66,51.41,51.41,26.43767
91,1593889200000,51.55,51.55,51.37,51.47,23.13217
92,1593892800000,51.54,51.54,51.48,51.48,44.13207
93,1593896400000,51.4,51.4,51.4,51.4,1.54742
94,1593900000000,51.47,51.47,51.4,51.45,16.99569
95,1593903600000,51.45,51.45,51.45,51.45,0.0
96,1593907200000,51.37,51.54,51.32,51.54,23.21975
97,1593910800000,51.34,51.55,51.33,51.43,25.62741
98,1593914400000,51.43,51.43,51.43,51.43,0.0
99,1593918000000,51.26,51.26,51.26,51.26,0.97907
100,1593921600000,51.14,51.14,51.14,51.14,40.90347
101,1593925200000,51.19,51.19,50.67,50.69,98.96602
102,1593928800000,50.76,50.9,50.76,50.9,9.29009
103,1593932400000,50.62,50.62,50.62,50.62,0.27597
104,1593936000000,50.62,50.62,50.62,50.62,0.0
105,1593939600000,50.8,50.8,50.31,50.31,23.82437
106,1593943200000,50.6,50.61,50.6,50.61,58.86019
107,1593946800000,50.68,50.68,50.63,50.63,14.5742
108,1593950400000,50.45,50.54,50.45,50.45,5.94185
109,1593954000000,50.75,51.07,50.75,50.83,111.72542
110,1593957600000,50.54,50.76,50.54,50.65,25.2923
111,1593961200000,50.9,50.95,50.66,50.76,97.33968
112,1593964800000,50.77,51.02,50.7,50.72,44.58242
113,1593968400000,50.84,50.92,50.84,50.88,15.08112
114,1593972000000,50.9,50.92,50.9,50.91,11.1709
115,1593975600000,50.91,50.91,50.91,50.91,0.0
116,1593979200000,50.84,50.89,50.57,50.57,131.35806
117,1593982800000,50.26,50.82,50.08,50.82,16.7865
118,1593986400000,51.01,51.2,50.99,51.08,25.83647
119,1593990000000,51.13,51.33,51.13,51.33,12.22546
120,1593993600000,51.33,51.33,51.33,51.33,0.0
121,1593997200000,51.5,51.5,51.5,51.5,10.4251
122,1594000800000,51.56,52.17,51.56,51.98,257.97096
123,1594004400000,51.86,51.86,51.65,51.8,17.69933
124,1594008000000,52.02,52.3,52.02,52.3,34.58968
125,1594011600000,52.42,52.91,52.21,52.91,26.89837
126,1594015200000,52.77,53.4,52.77,53.18,315.4714
127,1594018800000,53.28,53.32,53.01,53.12,19.54465
128,1594022400000,53.01,53.08,52.82,53.08,7.32177
129,1594026000000,53.27,53.27,53.27,53.27,5.35951
130,1594029600000,53.38,53.38,53.11,53.2,15.42115
131,1594033200000,53.29,53.3,53.29,53.3,1.93142
132,1594036800000,53.49,54.38,53.49,54.38,324.35457
133,1594040400000,54.31,54.31,53.96,53.97,68.03558
134,1594044000000,53.84,54.11,53.84,54.11,13.05989
135,1594047600000,54.1,55.07,54.09,54.85,80.25011
136,1594051200000,54.68,55.47,54.35,55.24,296.63104
137,1594054800000,55.21,55.25,54.73,54.97,36.0367
138,1594058400000,54.72,54.72,54.72,54.72,1.06213
139,1594062000000,54.77,54.77,54.44,54.5,11.7659
140,1594065600000,54.65,55.03,54.54,55.03,24.52185
141,1594069200000,55.5,55.5,55.18,55.18,4.07118
142,1594072800000,55.02,55.39,55.01,55.29,66.47323
143,1594076400000,55.38,55.42,55.38,55.42,2.91046
144,1594080000000,55.68,55.8,55.43,55.45,114.16817
145,1594083600000,55.22,55.22,54.96,54.98,52.74492
146,1594087200000,54.84,54.84,54.27,54.52,6.34186
147,1594090800000,54.84,54.94,54.72,54.8,83.46247
148,1594094400000,54.96,54.98,54.96,54.97,126.30864
149,1594098000000,55.15,55.15,54.7,54.7,9.98195
150,1594101600000,54.76,54.76,54.23,54.47,79.49843
151,1594105200000,54.16,54.16,54.02,54.02,59.44293
152,1594108800000,54.21,54.23,54.21,54.23,2.64306
153,1594112400000,54.04,54.04,53.65,53.67,32.30523
154,1594116000000,53.8,53.84,53.8,53.84,1.96176
155,1594119600000,54.22,54.22,54.22,54.22,1.31347
156,1594123200000,54.39,54.39,54.39,54.39,2.70872
157,1594126800000,54.31,54.33,53.89,54.09,48.51167
158,1594130400000,54.49,54.49,54.26,54.26,3.60698
159,1594134000000,54.83,55.35,54.83,55.27,23.80055
160,1594137600000,55.62,55.62,54.99,55.12,66.16659
161,1594141200000,55.11,55.32,55.08,55.1,45.17112
162,1594144800000,55.28,55.28,55.19,55.19,2.00475
163,1594148400000,55.24,55.24,55.06,55.06,4.37336
164,1594152000000,54.62,54.62,54.38,54.56,32.09337
165,1594155600000,54.62,54.66,54.44,54.44,7.11329
166,1594159200000,54.82,54.83,54.69,54.83,9.59039
167,1594162800000,54.83,54.83,54.83,54.83,0.0
168,1594166400000,54.86,54.86,54.29,54.76,62.31983
169,1594170000000,54.87,55.26,54.87,55.26,3.87123
170,1594173600000,55.67,56.39,55.67,56.39,215.41803
171,1594177200000,56.42,58.08,56.21,57.22,344.96668
172,1594180800000,56.86,57.16,56.36,56.47,46.06526
173,1594184400000,56.83,57.26,56.83,57.26,9.60576
174,1594188000000,57.25,57.32,57.24,57.32,7.1621
175,1594191600000,56.8,57.67,56.8,57.67,76.58151
176,1594195200000,57.46,57.46,57.02,57.02,4.75357
177,1594198800000,57.24,57.24,57.24,57.24,3.1049
178,1594202400000,58.0,58.28,58.0,58.04,6.67526
179,1594206000000,57.8,57.88,57.66,57.88,11.37125
180,1594209600000,57.9,57.9,57.11,57.11,50.23425
181,1594213200000,57.91,58.06,57.87,57.99,7.74843
182,1594216800000,58.16,58.35,57.65,58.35,13.65568
183,1594220400000,58.42,58.72,57.89,58.05,132.96957
184,1594224000000,58.44,58.53,58.39,58.39,50.82868
185,1594227600000,58.46,58.46,58.16,58.31,46.7318
186,1594231200000,58.15,58.16,58.06,58.06,4.86393
187,1594234800000,58.23,58.26,58.16,58.2,11.5659
188,1594238400000,58.2,58.2,58.09,58.09,12.68653
189,1594242000000,57.88,57.96,57.85,57.91,68.95968
190,1594245600000,57.63,58.45,57.63,57.96,131.36278
191,1594249200000,57.96,57.96,57.78,57.78,12.54081
192,1594252800000,57.56,57.56,57.06,57.38,72.1853
193,1594256400000,57.1,57.16,56.59,56.59,8.67455
194,1594260000000,57.0,57.09,56.4,57.04,96.23963
195,1594263600000,56.9,56.9,56.83,56.83,5.53739
196,1594267200000,57.17,57.17,57.17,57.17,1.69306
197,1594270800000,57.21,57.39,57.13,57.39,5.76834
198,1594274400000,57.97,57.97,57.91,57.91,2.73949
199,1594278000000,57.85,58.24,57.79,58.08,18.3824
200,1594281600000,57.95,57.95,57.82,57.83,4.06852
201,1594285200000,57.68,57.68,57.68,57.68,1.29051
202,1594288800000,57.63,57.63,57.63,57.63,56.92281
203,1594292400000,57.5,58.02,57.5,57.82,48.71454
204,1594296000000,58.24,58.83,58.24,58.83,97.53761
205,1594299600000,58.64,58.64,57.39,57.58,89.67924
206,1594303200000,57.46,57.66,56.75,56.8,46.19692
207,1594306800000,56.37,56.75,55.56,55.82,123.81998
208,1594310400000,55.71,55.82,55.71,55.74,22.69347
209,1594314000000,56.18,56.23,55.99,56.18,23.41745
210,1594317600000,56.21,56.36,56.13,56.36,13.08846
211,1594321200000,56.17,56.17,55.88,56.03,16.6992
212,1594324800000,56.16,56.26,56.16,56.26,25.32901
213,1594328400000,56.48,56.48,56.48,56.48,1.91341
214,1594332000000,56.55,56.83,56.55,56.83,54.6801
215,1594335600000,56.63,56.66,56.63,56.66,6.07926
216,1594339200000,56.55,56.65,56.46,56.47,9.12329
217,1594342800000,56.25,56.45,56.25,56.34,16.24272
218,1594346400000,56.26,56.32,55.99,55.99,7.20504
219,1594350000000,56.18,56.18,55.92,55.94,11.70875
220,1594353600000,55.92,55.92,55.14,55.14,24.97027
221,1594357200000,55.12,55.61,55.12,55.3,6.7437
222,1594360800000,55.47,55.66,55.43,55.43,9.43865
223,1594364400000,54.91,54.91,54.14,54.54,46.71256
224,1594368000000,54.54,55.01,54.54,55.01,14.27075
225,1594371600000,54.76,54.91,54.76,54.91,10.55914
226,1594375200000,54.9,55.04,54.72,55.04,8.27434
227,1594378800000,55.02,55.15,54.7,54.75,7.78386
228,1594382400000,54.89,54.89,54.61,54.71,2.90407
229,1594386000000,54.91,54.92,54.83,54.84,9.37071
230,1594389600000,54.71,55.08,54.71,55.08,13.66004
231,1594393200000,55.18,55.67,55.18,55.67,9.2002
232,1594396800000,55.5,55.51,55.48,55.51,13.53979
233,1594400400000,55.29,55.29,55.14,55.2,6.42365
234,1594404000000,55.63,55.81,55.37,55.81,8.60907
235,1594407600000,55.95,55.95,55.95,55.95,1.62213
236,1594411200000,55.77,55.77,55.76,55.76,38.43542
237,1594414800000,55.64,55.98,55.64,55.98,70.88577
238,1594418400000,55.8,56.12,55.77,56.12,18.21155
239,1594422000000,56.21,56.21,55.8,55.98,16.56489
240,1594425600000,56.0,56.14,56.0,56.14,4.1665
241,1594429200000,56.13,56.45,55.96,56.45,76.86933
242,1594432800000,56.5,56.64,56.4,56.4,21.23608
243,1594436400000,56.17,56.17,56.17,56.17,0.96031
244,1594440000000,55.99,55.99,55.99,55.99,2.05161
245,1594443600000,56.0,56.23,56.0,56.23,14.55566
246,1594447200000,56.0,56.0,55.93,55.93,0.35915
247,1594450800000,56.09,56.09,56.09,56.09,0.94925
248,1594454400000,56.09,56.09,56.09,56.09,0.0
249,1594458000000,55.76,55.76,55.06,55.36,28.04826
250,1594461600000,55.28,55.28,55.06,55.1,25.85887
251,1594465200000,55.01,55.38,55.01,55.2,23.47515
252,1594468800000,55.44,55.44,55.44,55.44,1.81612
253,1594472400000,55.27,55.3,55.13,55.19,15.76766
254,1594476000000,55.24,55.46,55.08,55.46,37.72121
255,1594479600000,55.43,55.53,55.43,55.47,3.80877
256,1594483200000,55.5,55.72,55.21,55.29,14.757
257,1594486800000,55.37,55.45,55.37,55.45,6.69094
258,1594490400000,55.33,55.4,55.33,55.4,5.64644
259,1594494000000,55.49,55.49,55.1,55.1,10.18566
260,1594497600000,55.44,55.44,55.44,55.44,3.27747
261,1594501200000,55.42,55.42,55.42,55.42,2.02251
262,1594504800000,55.66,55.66,55.46,55.46,2.45926
263,1594508400000,55.68,56.01,55.68,55.71,27.66955
264,1594512000000,55.96,56.21,55.96,56.21,13.40033
265,1594515600000,56.21,56.21,56.21,56.21,0.0
266,1594519200000,56.56,56.56,56.56,56.56,4.52957
267,1594522800000,56.36,56.36,56.36,56.36,1.81556
268,1594526400000,56.09,56.09,56.09,56.09,1.0
269,1594530000000,55.92,56.19,55.92,56.19,19.29458
270,1594533600000,56.06,56.06,55.98,55.98,3.19378
271,1594537200000,56.12,56.12,56.12,56.12,2.9722
272,1594540800000,56.54,57.05,56.54,56.67,36.58561
273,1594544400000,56.62,56.62,56.62,56.62,1.0
274,1594548000000,56.93,57.3,56.93,57.1,7.04028
275,1594551600000,56.86,57.26,56.67,56.67,7.7167
276,1594555200000,57.05,57.18,57.05,57.18,1.99035
277,1594558800000,57.38,58.39,56.41,56.98,302.88646
