,datetime,open,high,low,close,volume
0,1640995200000,0.5031,0.513,0.5031,0.513,18327.0
1,1640998800000,0.5108,0.5127,0.5079,0.5079,41863.0
2,1641002400000,0.5094,0.5118,0.5076,0.5089,22689.0
3,1641006000000,0.5075,0.5093,0.5048,0.5048,19689.0
4,1641009600000,0.5048,0.5061,0.5014,0.502,34912.0
5,1641013200000,0.5024,0.5132,0.5015,0.509,59260.0
6,1641016800000,0.5091,0.5142,0.5065,0.5065,40666.0
7,1641020400000,0.5079,0.51,0.5061,0.51,15007.0
8,1641024000000,0.5082,0.5092,0.5053,0.5068,74318.0
9,1641027600000,0.5058,0.508,0.5034,0.5053,54148.0
10,1641031200000,0.5059,0.509,0.5014,0.5088,85795.0
11,1641034800000,0.5069,0.5069,0.5018,0.5018,19038.0
12,1641038400000,0.5034,0.509,0.5034,0.5085,12451.0
13,1641042000000,0.5093,0.514,0.508,0.5105,29398.0
14,1641045600000,0.5109,0.5139,0.51,0.5127,4620.0
15,1641049200000,0.5127,0.5196,0.5122,0.5125,66199.0
16,1641052800000,0.514,0.5199,0.514,0.5157,47940.0
17,1641056400000,0.5172,0.5243,0.5172,0.5243,22595.0
18,1641060000000,0.5234,0.5277,0.5206,0.5221,45491.0
19,1641063600000,0.522,0.5234,0.5165,0.5187,60341.0
20,1641067200000,0.5202,0.5243,0.5202,0.5233,17570.0
21,1641070800000,0.5241,0.5264,0.5167,0.5193,33116.0
22,1641074400000,0.5207,0.5219,0.517,0.5181,51665.0
23,1641078000000,0.5169,0.5237,0.5165,0.5237,12055.0
24,1641081600000,0.5237,0.5264,0.5197,0.5241,62030.0
25,1641085200000,0.5249,0.5331,0.5248,0.5295,74360.0
26,1641088800000,0.5287,0.5321,0.5263,0.5316,24034.0
27,1641092400000,0.5316,0.5316,0.5245,0.5253,39982.0
28,1641096000000,0.5259,0.5284,0.5194,0.5259,59066.0
29,1641099600000,0.5251,0.5282,0.5212,0.5279,63069.0
30,1641103200000,0.5279,0.5282,0.5236,0.5279,26147.0
31,1641106800000,0.5272,0.528,0.522,0.5231,27466.0
32,1641110400000,0.5226,0.5254,0.5209,0.5254,11587.0
33,1641114000000,0.5256,0.5341,0.525,0.5328,57911.0
34,1641117600000,0.5321,0.5345,0.5311,0.5311,19733.0
35,1641121200000,0.5331,0.5343,0.529,0.529,11882.0
36,1641124800000,0.5294,0.5335,0.5255,0.5305,29526.0
37,1641128400000,0.5312,0.5371,0.5308,0.5347,72668.0
38,1641132000000,0.5343,0.5583,0.5341,0.5481,520589.0
39,1641135600000,0.5476,0.5503,0.54,0.5438,116349.0
40,1641139200000,0.5434,0.5555,0.5434,0.5514,42169.0
41,1641142800000,0.5554,0.5559,0.5475,0.5476,31516.0
42,1641146400000,0.5481,0.5492,0.5322,0.5443,124553.0
