,datetime,open,high,low,close,volume
0,1625097600000,8.25,8.25,7.879,8.181,38872.625
1,1625101200000,8.166,8.789,8.141,8.433,116416.386
2,1625104800000,8.437,8.456,7.794,7.866,73000.296
3,1625108400000,7.882,7.929,7.503,7.526,29010.514
4,1625112000000,7.531,7.769,7.474,7.516,34313.844
5,1625115600000,7.531,7.821,7.455,7.69,37944.344
6,1625119200000,7.69,7.69,7.269,7.386,26176.046
7,1625122800000,7.355,7.75,7.341,7.559,40037.413
8,1625126400000,7.559,7.685,7.327,7.426,30510.525
9,1625130000000,7.43,7.545,7.329,7.376,13689.042
10,1625133600000,7.363,7.363,7.242,7.299,15480.002
11,1625137200000,7.299,7.5,7.299,7.428,13046.011
12,1625140800000,7.424,7.49,7.314,7.485,9707.762
13,1625144400000,7.473,7.66,7.412,7.511,10271.439
14,1625148000000,7.511,7.552,7.301,7.31,12886.26
15,1625151600000,7.313,7.466,7.306,7.381,6122.901
16,1625155200000,7.379,7.411,7.274,7.312,4642.154
17,1625158800000,7.305,7.376,7.284,7.334,2225.132
18,1625162400000,7.336,7.449,7.31,7.329,6843.86
19,1625166000000,7.321,7.322,7.169,7.26,4561.426
20,1625169600000,7.268,7.349,7.238,7.282,3145.578
21,1625173200000,7.294,7.397,7.271,7.378,4922.891
22,1625176800000,7.367,7.6,7.36,7.499,20625.793
23,1625180400000,7.521,7.53,7.411,7.433,15546.013
24,1625184000000,7.431,7.686,7.376,7.675,25332.14
25,1625187600000,7.678,7.682,7.445,7.455,13523.892
26,1625191200000,7.45,7.597,7.407,7.494,17109.014
27,1625194800000,7.507,7.518,7.222,7.255,18830.362
28,1625198400000,7.258,7.439,7.241,7.347,14060.879
29,1625202000000,7.332,7.434,7.189,7.207,15756.573
30,1625205600000,7.228,7.314,7.142,7.291,6463.429
31,1625209200000,7.291,7.586,7.228,7.432,6146.146
32,1625212800000,7.43,7.521,7.315,7.392,12227.999
33,1625216400000,7.404,7.425,7.224,7.32,5873.553
34,1625220000000,7.329,7.335,7.2,7.257,3368.733
35,1625223600000,7.244,7.306,7.2,7.25,2043.755
36,1625227200000,7.24,7.345,7.184,7.299,2421.083
37,1625230800000,7.336,7.344,7.26,7.288,1895.782
38,1625234400000,7.287,7.47,7.272,7.47,6073.158
39,1625238000000,7.479,7.512,7.377,7.404,5049.174
40,1625241600000,7.421,7.517,7.409,7.489,4546.321
41,1625245200000,7.487,7.52,7.417,7.417,9230.556
42,1625248800000,7.405,7.438,7.355,7.39,3396.609
43,1625252400000,7.39,7.47,7.382,7.47,1667.763
44,1625256000000,7.48,7.494,7.369,7.462,6981.853
45,1625259600000,7.447,7.518,7.434,7.434,3815.795
46,1625263200000,7.432,7.521,7.418,7.521,4051.771
47,1625266800000,7.514,7.799,7.472,7.69,21707.64
48,1625270400000,7.712,7.915,7.612,7.671,73934.429
49,1625274000000,7.656,7.854,7.65,7.798,24019.38
50,1625277600000,7.81,7.914,7.74,7.812,12070.466
51,1625281200000,7.788,7.953,7.688,7.806,9006.316
52,1625284800000,7.843,8.088,7.83,8.059,18898.711
53,1625288400000,8.06,8.088,7.947,7.962,8799.78
54,1625292000000,7.962,7.97,7.677,7.706,13365.744
55,1625295600000,7.707,7.865,7.645,7.84,11250.998
56,1625299200000,7.84,7.866,7.74,7.778,7953.517
