,datetime,open,high,low,close,volume
0,1593561600000,0.07429,0.07429,0.07408,0.07408,7168.6
1,1593565200000,0.07316,0.07433,0.07315,0.07433,9035.8
2,1593568800000,0.07433,0.07433,0.07433,0.07433,0.0
3,1593572400000,0.07486,0.07486,0.07486,0.07486,703.1
4,1593576000000,0.07505,0.07505,0.07492,0.07498,14265.1
5,1593579600000,0.07498,0.07498,0.07498,0.07498,0.0
6,1593583200000,0.07559,0.07563,0.07556,0.07563,34767.8
7,1593586800000,0.07563,0.07563,0.07563,0.07563,0.0
8,1593590400000,0.07563,0.07563,0.07563,0.07563,0.0
9,1593594000000,0.07563,0.07563,0.07563,0.07563,0.0
10,1593597600000,0.07563,0.07563,0.07563,0.07563,0.0
11,1593601200000,0.07563,0.07563,0.07563,0.07563,0.0
12,1593604800000,0.07563,0.07563,0.07563,0.07563,0.0
13,1593608400000,0.07828,0.07958,0.07825,0.07958,18527.0
14,1593612000000,0.07957,0.07957,0.07957,0.07957,127.2
15,1593615600000,0.07957,0.07957,0.07957,0.07957,0.0
16,1593619200000,0.07926,0.07926,0.07821,0.07842,36143.8
17,1593622800000,0.07805,0.07806,0.07798,0.07806,1356.1
18,1593626400000,0.07797,0.07798,0.07785,0.07785,10540.9
19,1593630000000,0.07785,0.07785,0.07785,0.07785,0.0
20,1593633600000,0.07785,0.07785,0.07785,0.07785,0.0
21,1593637200000,0.07785,0.07785,0.07785,0.07785,0.0
22,1593640800000,0.07845,0.07869,0.07845,0.07869,14512.0
23,1593644400000,0.07923,0.07924,0.07917,0.07924,3260.9
24,1593648000000,0.07952,0.07952,0.07952,0.07952,26172.2
25,1593651600000,0.07952,0.07952,0.07952,0.07952,0.0
26,1593655200000,0.07952,0.07952,0.07952,0.07952,0.0
27,1593658800000,0.07952,0.07952,0.07952,0.07952,0.0
28,1593662400000,0.08499,0.085,0.08309,0.08409,68857.0
29,1593666000000,0.08411,0.085,0.08411,0.085,74328.7
30,1593669600000,0.08658,0.08658,0.08496,0.08496,1127.8
31,1593673200000,0.08465,0.08465,0.08389,0.08389,13229.7
32,1593676800000,0.08589,0.0859,0.08494,0.08494,15204.9
33,1593680400000,0.08686,0.08944,0.08686,0.08907,57466.2
34,1593684000000,0.08867,0.08867,0.086,0.08609,42757.0
35,1593687600000,0.08539,0.08686,0.085,0.08555,29231.5
36,1593691200000,0.08635,0.08635,0.08635,0.08635,215.2
37,1593694800000,0.08615,0.08632,0.0857,0.08574,12685.2
38,1593698400000,0.08599,0.08686,0.08599,0.08686,3572.4
39,1593702000000,0.0868,0.0868,0.08352,0.084,69007.6
40,1593705600000,0.083,0.083,0.081,0.081,26545.6
41,1593709200000,0.08111,0.08111,0.08111,0.08111,406.5
42,1593712800000,0.08122,0.08122,0.08107,0.08107,539.2
43,1593716400000,0.0814,0.08157,0.08113,0.08113,1268.9
44,1593720000000,0.08212,0.08221,0.08197,0.08197,9106.2
45,1593723600000,0.08257,0.08257,0.08257,0.08257,792.0
46,1593727200000,0.08275,0.08341,0.08275,0.08341,3233.1
47,1593730800000,0.08361,0.08363,0.08361,0.08363,4213.0
48,1593734400000,0.08363,0.08363,0.08363,0.08363,0.0
49,1593738000000,0.08363,0.08363,0.08363,0.08363,0.0
50,1593741600000,0.0833,0.08349,0.0833,0.08349,4449.5
51,1593745200000,0.08389,0.0839,0.08389,0.0839,2402.9
52,1593748800000,0.08501,0.08545,0.08501,0.08545,660.3
53,1593752400000,0.08545,0.08545,0.08545,0.08545,0.0
54,1593756000000,0.08545,0.08704,0.08545,0.08703,14828.9
55,1593759600000,0.08702,0.08702,0.08631,0.08631,11945.4
56,1593763200000,0.08624,0.08624,0.085,0.085,327.3
57,1593766800000,0.085,0.085,0.085,0.085,0.0
58,1593770400000,0.085,0.085,0.08414,0.08414,1918.8
59,1593774000000,0.0836,0.0836,0.0832,0.08321,16471.5
60,1593777600000,0.0842,0.08521,0.0842,0.08521,2390.9
61,1593781200000,0.0851,0.0851,0.0851,0.0851,1292.6
62,1593784800000,0.08566,0.08595,0.08566,0.08595,5484.7
63,1593788400000,0.08686,0.08686,0.08523,0.08523,6917.6
64,1593792000000,0.08523,0.08523,0.08523,0.08523,0.0
65,1593795600000,0.08778,0.088,0.08778,0.088,53832.5
66,1593799200000,0.08888,0.08888,0.08888,0.08888,126.4
67,1593802800000,0.08888,0.08888,0.08888,0.08888,0.0
68,1593806400000,0.08888,0.08888,0.08888,0.08888,0.0
69,1593810000000,0.08888,0.08888,0.08888,0.08888,0.0
70,1593813600000,0.08989,0.0909,0.08989,0.0909,364.8
71,1593817200000,0.09061,0.09061,0.0906,0.0906,1021.5
72,1593820800000,0.0915,0.09393,0.0915,0.09393,2513.9
