,datetime,open,high,low,close,volume
0,1640995200000,8.103,8.287,8.103,8.279,25930.52
1,1640998800000,8.279,8.334,8.229,8.233,7784.38
2,1641002400000,8.245,8.289,8.244,8.266,3191.55
3,1641006000000,8.276,8.338,8.261,8.281,4494.73
4,1641009600000,8.286,8.286,8.183,8.201,8431.97
5,1641013200000,8.21,8.4,8.194,8.298,14358.8
6,1641016800000,8.276,8.325,8.24,8.24,2560.15
7,1641020400000,8.239,8.343,8.224,8.343,8160.62
8,1641024000000,8.309,8.347,8.278,8.281,9169.71
9,1641027600000,8.277,8.306,8.191,8.268,4567.35
10,1641031200000,8.269,8.309,8.115,8.181,18210.3
11,1641034800000,8.18,8.235,8.173,8.198,8613.93
12,1641038400000,8.198,8.284,8.181,8.284,3355.75
13,1641042000000,8.285,8.324,8.202,8.237,6306.09
14,1641045600000,8.239,8.25,8.19,8.2,4190.23
15,1641049200000,8.2,8.334,8.2,8.288,10631.34
16,1641052800000,8.281,8.384,8.267,8.292,16399.32
17,1641056400000,8.298,8.483,8.286,8.427,19137.57
18,1641060000000,8.425,8.466,8.379,8.431,6391.48
19,1641063600000,8.446,8.514,8.415,8.462,18565.84
20,1641067200000,8.464,8.504,8.432,8.453,14965.7
21,1641070800000,8.453,8.506,8.411,8.443,11251.21
22,1641074400000,8.418,8.45,8.402,8.43,2795.02
23,1641078000000,8.429,8.495,8.381,8.466,4939.88
24,1641081600000,8.458,8.488,8.34,8.484,6591.11
25,1641085200000,8.484,8.5,8.373,8.38,6804.37
26,1641088800000,8.382,8.397,8.294,8.344,5982.55
27,1641092400000,8.352,8.435,8.35,8.431,7394.87
28,1641096000000,8.433,8.645,8.414,8.467,31595.64
29,1641099600000,8.452,8.613,8.451,8.546,11397.64
30,1641103200000,8.543,8.596,8.511,8.582,2039.21
31,1641106800000,8.572,8.572,8.484,8.496,4712.51
32,1641110400000,8.496,8.615,8.455,8.612,17711.69
33,1641114000000,8.599,8.681,8.575,8.579,18828.76
34,1641117600000,8.579,8.74,8.579,8.686,10895.02
35,1641121200000,8.686,8.827,8.682,8.779,18890.12
36,1641124800000,8.775,8.791,8.681,8.754,28676.29
37,1641128400000,8.754,8.754,8.674,8.68,9649.0
38,1641132000000,8.68,8.702,8.614,8.627,8094.75
39,1641135600000,8.628,8.742,8.628,8.723,6621.49
40,1641139200000,8.72,8.865,8.71,8.841,19372.09
41,1641142800000,8.833,8.872,8.749,8.774,24058.12
42,1641146400000,8.766,8.822,8.52,8.67,32627.71
43,1641150000000,8.659,8.708,8.621,8.641,12303.24
44,1641153600000,8.64,8.647,8.568,8.591,9763.78
45,1641157200000,8.591,8.635,8.555,8.619,6496.26
46,1641160800000,8.617,8.676,8.617,8.676,2901.87
