,datetime,open,high,low,close,volume
0,1625097600000,11.959,11.959,11.776,11.831,1997.118
1,1625101200000,11.86,12.08,11.86,11.922,1386.025
2,1625104800000,11.943,11.945,11.513,11.513,2856.079
3,1625108400000,11.535,11.569,11.42,11.423,1180.159
4,1625112000000,11.439,11.58,11.427,11.57,1066.154
5,1625115600000,11.593,11.675,11.493,11.666,1293.015
6,1625119200000,11.648,11.706,11.283,11.306,2138.911
7,1625122800000,11.35,11.412,11.208,11.208,14100.554
8,1625126400000,11.208,11.319,11.15,11.261,5728.237
9,1625130000000,11.264,11.308,11.082,11.17,2991.874
10,1625133600000,11.165,11.237,11.074,11.19,985.614
11,1625137200000,11.226,11.348,11.22,11.342,1851.136
12,1625140800000,11.323,11.374,11.227,11.335,10058.299
13,1625144400000,11.362,11.39,11.254,11.263,3250.807
14,1625148000000,11.25,11.36,11.1,11.211,3195.056
15,1625151600000,11.211,11.361,11.211,11.241,1749.035
16,1625155200000,11.228,11.252,11.108,11.119,1781.189
17,1625158800000,11.115,11.308,11.113,11.302,835.158
18,1625162400000,11.294,11.331,11.212,11.24,1096.32
19,1625166000000,11.24,11.265,10.972,11.095,3936.159
20,1625169600000,11.115,11.27,11.115,11.267,1402.346
21,1625173200000,11.275,11.334,11.185,11.305,3045.307
22,1625176800000,11.312,11.332,11.288,11.331,680.112
23,1625180400000,11.332,11.332,11.191,11.212,1469.513
24,1625184000000,11.202,11.36,11.15,11.277,8370.445
25,1625187600000,11.315,11.315,11.014,11.032,1683.187
26,1625191200000,11.024,11.06,10.963,11.024,1430.39
27,1625194800000,10.992,10.992,10.81,10.81,1829.157
28,1625198400000,10.811,10.885,10.779,10.854,743.049
29,1625202000000,10.872,10.895,10.725,10.76,351.194
30,1625205600000,10.743,10.844,10.65,10.7,1060.433
31,1625209200000,10.7,10.865,10.683,10.834,1513.908
32,1625212800000,10.817,10.937,10.787,10.793,2407.589
33,1625216400000,10.791,10.797,10.575,10.612,9540.772
34,1625220000000,10.592,10.64,10.582,10.634,1643.264
35,1625223600000,10.642,10.693,10.596,10.63,6211.822
36,1625227200000,10.629,10.697,10.595,10.68,435.781
37,1625230800000,10.681,10.794,10.678,10.76,597.707
38,1625234400000,10.77,10.957,10.719,10.919,4676.967
39,1625238000000,10.908,10.953,10.85,10.953,4256.889
40,1625241600000,10.953,11.159,10.892,11.075,4772.279
41,1625245200000,11.081,11.104,10.935,10.935,1155.593
42,1625248800000,10.954,10.977,10.826,10.955,1083.807
43,1625252400000,10.926,10.995,10.855,10.995,1089.964
44,1625256000000,11.011,11.027,10.738,10.765,3988.475
45,1625259600000,10.773,10.908,10.773,10.893,4321.289
46,1625263200000,10.895,11.023,10.895,11.023,1021.757
47,1625266800000,11.023,11.135,11.005,11.114,2645.46
48,1625270400000,11.132,11.134,10.942,10.967,1353.846
49,1625274000000,10.986,11.018,10.96,10.977,451.844
50,1625277600000,10.956,11.043,10.947,10.976,126.63
51,1625281200000,10.974,11.055,10.891,11.055,781.961
52,1625284800000,11.046,11.063,10.948,10.961,267.334
53,1625288400000,11.009,11.013,10.931,10.983,865.026
54,1625292000000,10.98,11.239,10.967,11.221,1271.988
55,1625295600000,11.208,11.393,11.154,11.331,6994.75
56,1625299200000,11.355,11.439,11.353,11.425,2328.859
57,1625302800000,11.418,11.508,11.418,11.508,2136.442
58,1625306400000,11.502,11.526,11.477,11.504,2026.421
59,1625310000000,11.516,11.516,11.386,11.446,1307.347
60,1625313600000,11.441,11.518,11.418,11.506,806.485
61,1625317200000,11.496,11.615,11.47,11.588,2082.542
62,1625320800000,11.592,11.592,11.502,11.558,4528.594
63,1625324400000,11.57,11.582,11.425,11.473,4244.778
64,1625328000000,11.492,11.548,11.456,11.524,3069.99
65,1625331600000,11.53,11.63,11.526,11.586,4109.724
66,1625335200000,11.571,11.675,11.536,11.622,1642.378
67,1625338800000,11.613,11.634,11.56,11.595,2488.318
68,1625342400000,11.579,11.601,11.479,11.528,1357.882
69,1625346000000,11.527,11.538,11.373,11.377,3751.337
70,1625349600000,11.386,11.502,11.254,11.368,13156.013
71,1625353200000,11.351,11.523,11.289,11.499,14180.409
72,1625356800000,11.5,11.5,11.314,11.321,2342.037
73,1625360400000,11.308,11.316,11.2,11.237,2845.559
74,1625364000000,11.231,11.378,11.229,11.347,282.132
75,1625367600000,11.335,11.382,11.325,11.353,57.701
76,1625371200000,11.373,11.491,11.373,11.455,293.298
77,1625374800000,11.448,11.672,11.433,11.655,2311.788
78,1625378400000,11.673,11.788,11.598,11.769,2912.512
79,1625382000000,11.757,11.908,11.731,11.872,4829.838
80,1625385600000,11.893,11.949,11.787,11.934,5265.703
81,1625389200000,11.932,11.932,11.795,11.892,4162.56
82,1625392800000,11.899,11.988,11.847,11.978,2772.731
83,1625396400000,11.985,12.074,11.908,12.019,6887.906
84,1625400000000,12.009,12.018,11.812,11.819,2187.17
85,1625403600000,11.837,11.996,11.837,11.981,2275.815
86,1625407200000,11.951,12.22,11.951,12.22,8771.199
87,1625410800000,12.22,12.533,12.134,12.409,10624.553
88,1625414400000,12.439,12.456,12.254,12.302,2597.209
89,1625418000000,12.339,12.543,12.256,12.535,2457.654
