,datetime,open,high,low,close,volume
0,1625097600000,5.6836,5.7545,5.5214,5.5307,44539.82
1,1625101200000,5.531,5.75,5.5236,5.5818,33429.89
2,1625104800000,5.5752,5.608,5.3608,5.3608,18362.56
3,1625108400000,5.374,5.4957,5.374,5.4046,14725.2
4,1625112000000,5.4042,5.423,5.3145,5.4197,15010.48
5,1625115600000,5.4266,5.5418,5.3702,5.5311,7855.15
6,1625119200000,5.5222,5.5473,5.2823,5.2882,17009.97
7,1625122800000,5.3018,5.389,5.1807,5.1807,10302.71
8,1625126400000,5.1809,5.3497,5.1808,5.3229,8842.02
9,1625130000000,5.3128,5.3942,5.2153,5.2671,20519.57
10,1625133600000,5.267,5.421,5.25,5.389,13847.65
11,1625137200000,5.4011,5.6938,5.4011,5.6938,29007.67
12,1625140800000,5.6888,5.6976,5.5933,5.6027,16135.13
13,1625144400000,5.6168,5.7966,5.5714,5.6923,13133.6
14,1625148000000,5.6901,5.709,5.5663,5.6033,17831.98
15,1625151600000,5.6031,5.704,5.6,5.6774,7953.31
16,1625155200000,5.6875,5.704,5.4999,5.5106,11625.62
17,1625158800000,5.5176,5.5566,5.4921,5.5514,5642.55
18,1625162400000,5.5566,5.645,5.5174,5.6031,5394.39
19,1625166000000,5.63,5.63,5.415,5.5595,8610.47
20,1625169600000,5.555,5.7632,5.5431,5.7149,15563.32
21,1625173200000,5.71,5.887,5.6779,5.8801,11661.56
22,1625176800000,5.861,5.9934,5.78,5.9634,18590.01
23,1625180400000,5.9502,5.9503,5.7424,5.753,21762.48
24,1625184000000,5.7423,6.0051,5.7401,5.9641,19553.08
25,1625187600000,5.965,6.37,5.965,6.0413,74195.98
26,1625191200000,6.0413,6.1955,6.0413,6.154,25870.6
27,1625194800000,6.1345,6.1345,5.9204,5.9355,22097.83
28,1625198400000,5.9373,6.1662,5.9328,6.1094,34102.48
29,1625202000000,6.0918,6.1347,5.9085,5.9298,26617.88
30,1625205600000,5.9154,6.134,5.8638,6.0164,30777.07
31,1625209200000,6.0413,6.274,6.0027,6.211,84887.66
32,1625212800000,6.2212,6.4337,6.1705,6.23,96970.63
33,1625216400000,6.2293,6.2399,6.04,6.1283,38824.06
34,1625220000000,6.1283,6.175,6.043,6.088,28642.6
35,1625223600000,6.0952,6.3603,6.088,6.2287,48025.37
36,1625227200000,6.23,6.2844,6.0736,6.0951,39289.12
37,1625230800000,6.095,6.1629,5.98,5.99,43410.95
38,1625234400000,5.9997,6.1758,5.9405,6.1758,25424.02
