,datetime,open,high,low,close,volume
0,1625097600000,60.38,60.38,59.3,59.57,7444.8099
1,1625101200000,59.54,60.11,59.51,59.88,3005.4461
2,1625104800000,59.81,59.88,57.57,58.0,6783.631
3,1625108400000,58.06,58.39,57.44,57.56,6193.2123
4,1625112000000,57.55,58.4,57.48,58.28,10551.9417
5,1625115600000,58.31,58.73,57.89,58.51,7404.772
6,1625119200000,58.47,58.81,56.0,56.0,17116.5028
7,1625122800000,56.02,56.66,55.84,56.01,23161.5148
8,1625126400000,56.02,56.82,55.98,56.57,4893.9709
9,1625130000000,56.47,57.04,55.99,56.58,6066.4896
10,1625133600000,56.6,57.08,56.2,56.62,9827.4214
11,1625137200000,56.58,57.75,56.58,57.59,10735.8878
12,1625140800000,57.57,57.89,57.21,57.58,8680.9948
13,1625144400000,57.59,57.99,57.02,57.03,3391.0708
14,1625148000000,57.02,57.4,56.06,56.53,4638.756
15,1625151600000,56.45,57.14,56.41,56.67,5448.0397
16,1625155200000,56.54,56.88,56.0,56.1,11169.1719
17,1625158800000,56.13,56.96,56.03,56.78,4303.3918
18,1625162400000,56.87,57.01,56.46,56.56,8441.8207
19,1625166000000,56.6,56.6,55.22,55.71,7256.5516
20,1625169600000,55.77,56.68,55.76,56.49,8020.1781
21,1625173200000,56.51,56.79,56.27,56.71,5542.0294
22,1625176800000,56.79,57.39,56.66,57.3,5545.5409
23,1625180400000,57.32,57.49,56.62,56.76,4584.5862
24,1625184000000,56.69,57.19,56.12,57.15,6262.2441
25,1625187600000,57.09,57.18,56.22,56.32,4368.3468
26,1625191200000,56.23,56.61,56.11,56.52,2648.9208
27,1625194800000,56.59,56.64,55.23,55.39,6601.0095
28,1625198400000,55.43,56.0,55.29,55.96,8330.9662
29,1625202000000,55.86,56.1,55.1,55.31,4211.9875
30,1625205600000,55.28,55.57,54.96,55.35,5388.4162
31,1625209200000,55.33,55.91,55.2,55.73,5219.8046
32,1625212800000,55.73,56.28,55.47,55.7,5149.8353
33,1625216400000,55.7,55.7,54.98,55.3,3194.1169
34,1625220000000,55.25,55.73,55.07,55.55,5810.9555
35,1625223600000,55.63,55.94,55.27,55.48,5237.2984
36,1625227200000,55.43,55.93,55.26,55.81,5289.504
37,1625230800000,55.83,56.2,55.62,56.06,3673.861
38,1625234400000,56.15,57.0,56.03,57.0,6116.4795
39,1625238000000,57.0,57.32,56.47,57.3,3741.6343
40,1625241600000,57.27,57.37,56.52,56.84,7004.4437
41,1625245200000,56.87,57.03,56.48,56.64,1508.6264
42,1625248800000,56.66,56.97,56.42,56.49,4132.2576
43,1625252400000,56.48,56.63,56.43,56.59,2771.1991
44,1625256000000,56.58,56.58,56.09,56.19,1866.0908
45,1625259600000,56.15,56.92,56.15,56.87,3457.9176
46,1625263200000,56.86,57.23,56.7,57.23,5018.9091
47,1625266800000,57.19,57.4,56.92,57.19,2988.6487
48,1625270400000,57.16,57.6,56.67,56.78,1757.0753
49,1625274000000,56.78,57.5,56.69,57.03,5105.3011
50,1625277600000,57.01,57.3,56.73,57.01,3067.4424
51,1625281200000,56.87,57.06,56.73,57.04,1172.5587
52,1625284800000,57.02,57.31,56.83,57.21,1421.2728
53,1625288400000,57.21,57.42,57.07,57.3,1357.707
54,1625292000000,57.24,57.41,57.08,57.2,1051.2388
55,1625295600000,57.19,58.95,57.1,58.77,9192.2824
56,1625299200000,58.77,59.45,58.45,59.27,8481.3647
57,1625302800000,59.25,59.96,59.19,59.61,24457.4227
58,1625306400000,59.64,59.72,59.22,59.23,7715.3982
59,1625310000000,59.28,59.28,58.4,58.71,3213.5239
60,1625313600000,58.77,59.28,58.63,58.92,3284.0376
61,1625317200000,58.93,58.99,58.59,58.83,1026.8591
62,1625320800000,58.87,59.62,58.82,59.51,2109.0979
63,1625324400000,59.52,59.71,58.91,59.71,4517.5047
64,1625328000000,59.72,59.88,58.85,59.0,4496.4077
65,1625331600000,59.05,59.45,58.94,59.01,2472.6915
66,1625335200000,59.01,59.05,58.71,58.74,1245.1534
67,1625338800000,58.71,58.89,58.62,58.87,1722.1637
68,1625342400000,58.84,59.14,58.56,58.86,948.9004
69,1625346000000,58.81,59.28,58.52,58.64,979.1868
70,1625349600000,58.71,58.8,57.84,58.55,2365.7788
71,1625353200000,58.51,58.92,58.14,58.92,1877.719
72,1625356800000,58.87,58.99,58.31,58.36,1481.6917
73,1625360400000,58.3,58.42,58.12,58.14,1419.4582
74,1625364000000,58.13,58.72,58.02,58.71,1646.6544
75,1625367600000,58.64,58.86,58.56,58.63,1920.8953
76,1625371200000,58.61,59.12,58.61,58.94,2647.3098
77,1625374800000,58.92,59.8,58.9,59.55,4235.4152
78,1625378400000,59.59,60.06,59.38,60.0,4893.7432
79,1625382000000,60.0,60.62,59.73,60.25,8113.4754
80,1625385600000,60.31,60.4,59.62,59.92,5348.6423
81,1625389200000,59.92,59.94,59.37,59.52,4193.4901
82,1625392800000,59.5,59.91,59.47,59.82,3190.8185
83,1625396400000,59.83,59.9,59.42,59.49,2220.081
84,1625400000000,59.48,59.53,58.91,58.97,3061.7017
85,1625403600000,58.96,59.4,58.95,59.14,7656.2374
86,1625407200000,59.17,59.5,59.0,59.42,4287.7455
87,1625410800000,59.45,59.71,59.28,59.64,2811.5829
88,1625414400000,59.7,59.78,59.16,59.2,6282.8416
89,1625418000000,59.21,59.64,59.07,59.49,3218.2595
90,1625421600000,59.47,59.47,59.18,59.3,2485.1523
91,1625425200000,59.32,59.65,59.32,59.48,2953.7873
92,1625428800000,59.45,59.45,59.15,59.34,644.3453
93,1625432400000,59.34,60.08,59.23,59.96,5006.1075
94,1625436000000,59.98,60.02,59.12,59.22,2264.9406
95,1625439600000,59.14,59.35,58.34,58.75,3195.7353
96,1625443200000,58.72,58.72,57.84,57.96,13796.3811
97,1625446800000,57.92,58.34,57.55,57.81,5862.9871
98,1625450400000,57.85,58.31,57.84,57.99,2564.4864
99,1625454000000,57.94,58.28,57.2,57.35,6511.7236
100,1625457600000,57.28,57.61,56.9,57.26,6940.8591
101,1625461200000,57.21,57.54,57.03,57.46,2009.833
102,1625464800000,57.48,57.73,57.35,57.55,5155.35
103,1625468400000,57.56,58.0,57.27,57.6,3245.4431
104,1625472000000,57.57,57.62,57.16,57.24,2087.6725
105,1625475600000,57.27,57.76,57.26,57.34,6322.5777
106,1625479200000,57.31,58.09,57.31,58.02,5132.6228
107,1625482800000,58.01,58.01,55.77,56.19,8051.9951
108,1625486400000,56.14,56.64,56.07,56.43,2713.1329
109,1625490000000,56.43,56.61,56.12,56.41,3766.8804
110,1625493600000,56.41,56.6,56.28,56.56,2994.6772
111,1625497200000,56.58,56.7,55.75,55.82,3837.5265
112,1625500800000,55.78,56.45,55.54,56.04,7646.652
113,1625504400000,56.07,56.22,54.81,55.86,4450.9111
114,1625508000000,55.91,56.4,55.91,56.15,5044.0192
115,1625511600000,56.2,56.43,56.16,56.43,1214.395
116,1625515200000,56.43,56.86,56.24,56.45,1562.6057
117,1625518800000,56.49,57.1,56.49,56.92,2624.7164
118,1625522400000,56.94,56.94,56.55,56.55,1163.3238
119,1625526000000,56.62,56.74,56.04,56.04,2278.6105
120,1625529600000,56.04,56.95,56.0,56.64,1516.4264
121,1625533200000,56.71,56.85,56.34,56.38,3349.2251
122,1625536800000,56.32,56.64,56.32,56.64,1750.4643
123,1625540400000,56.61,57.31,56.54,57.14,4689.9399
124,1625544000000,57.17,58.22,57.17,57.97,13705.3662
125,1625547600000,57.99,58.21,57.63,57.9,7422.3037
126,1625551200000,57.92,57.96,57.24,57.61,10037.5167
127,1625554800000,57.67,58.16,57.67,58.09,5858.0816
128,1625558400000,58.14,58.34,57.95,58.2,7828.4296
129,1625562000000,58.17,58.28,56.32,56.85,16607.9053
130,1625565600000,56.85,56.89,56.35,56.58,4544.728
131,1625569200000,56.57,56.98,55.96,56.71,11096.1902
132,1625572800000,56.64,57.44,56.4,57.35,6119.273
133,1625576400000,57.34,57.68,56.78,56.97,5801.0479
134,1625580000000,56.99,57.2,56.87,56.87,2993.4539
135,1625583600000,56.85,56.95,56.52,56.77,3640.2016
136,1625587200000,56.78,57.03,56.1,56.5,3444.5438
137,1625590800000,56.49,56.59,56.01,56.47,2980.1382
138,1625594400000,56.42,56.78,56.27,56.38,2290.0376
139,1625598000000,56.38,56.58,56.3,56.41,1562.186
140,1625601600000,56.35,56.71,56.11,56.21,1963.8853
141,1625605200000,56.24,56.28,56.01,56.18,1653.2092
142,1625608800000,56.17,56.77,56.16,56.61,1581.1937
143,1625612400000,56.57,57.03,56.49,57.0,2983.3009
144,1625616000000,56.99,57.22,56.75,57.12,2097.8079
145,1625619600000,57.12,57.62,57.04,57.21,4804.9757
146,1625623200000,57.27,57.44,56.92,57.35,3145.6711
147,1625626800000,57.37,57.78,57.21,57.57,7898.9322
148,1625630400000,57.55,57.81,57.39,57.8,5483.9462
149,1625634000000,57.8,57.85,57.57,57.65,3990.553
150,1625637600000,57.71,58.04,57.69,57.8,2595.025
151,1625641200000,57.83,57.88,57.32,57.53,1700.1396
152,1625644800000,57.54,57.81,57.38,57.52,2159.1879
153,1625648400000,57.54,57.64,57.23,57.52,2587.2488
154,1625652000000,57.51,57.6,57.14,57.32,3048.9479
155,1625655600000,57.32,57.88,57.28,57.57,1811.6156
156,1625659200000,57.57,57.9,57.57,57.75,5242.4726
157,1625662800000,57.72,58.02,57.71,57.95,5201.5187
158,1625666400000,57.92,58.04,57.31,57.32,3440.0803
159,1625670000000,57.35,57.5,57.04,57.2,1953.4112
160,1625673600000,57.21,57.46,56.88,57.37,1588.6428
161,1625677200000,57.28,57.44,57.13,57.31,1017.6898
162,1625680800000,57.23,57.71,57.19,57.61,2515.8481
163,1625684400000,57.57,57.69,57.4,57.44,1437.1441
164,1625688000000,57.4,57.4,57.14,57.14,939.2805
165,1625691600000,57.12,57.17,56.75,56.96,5645.1204
166,1625695200000,56.87,56.95,56.57,56.75,2492.1293
167,1625698800000,56.75,56.75,56.29,56.43,2856.522
168,1625702400000,56.37,56.5,55.69,55.75,4309.2198
169,1625706000000,55.72,56.19,55.72,55.99,1723.4259
170,1625709600000,56.04,56.33,55.99,56.29,2052.4865
171,1625713200000,56.27,56.35,55.85,56.26,3104.6037
172,1625716800000,56.14,56.17,55.88,56.1,1791.142
173,1625720400000,56.11,56.17,55.53,55.53,2903.4861
174,1625724000000,55.53,56.25,55.48,55.77,3673.7943
175,1625727600000,55.79,56.12,54.98,55.27,6211.3494
176,1625731200000,55.21,55.39,54.86,55.36,4656.2756
177,1625734800000,55.39,55.68,55.18,55.49,3067.8564
178,1625738400000,55.47,56.36,55.44,55.83,4109.6016
179,1625742000000,55.71,56.09,55.04,55.99,3808.4729
180,1625745600000,55.92,56.19,55.5,55.57,6701.717
181,1625749200000,55.58,55.69,55.1,55.19,2323.6764
182,1625752800000,55.28,55.55,55.28,55.52,1429.6687
183,1625756400000,55.48,55.57,55.24,55.35,1337.3191
184,1625760000000,55.36,55.48,55.0,55.28,4372.7162
185,1625763600000,55.3,55.48,55.14,55.21,3075.2118
186,1625767200000,55.28,55.3,54.99,55.14,233.5575
187,1625770800000,55.13,55.13,54.42,54.78,1674.7992
188,1625774400000,54.85,54.92,54.21,54.28,1163.0025
189,1625778000000,54.3,54.96,53.64,53.66,3786.4768
190,1625781600000,53.64,53.95,52.88,53.02,3502.0243
191,1625785200000,53.02,54.07,53.02,53.9,2164.383
192,1625788800000,53.92,53.97,52.75,52.91,5911.4459
193,1625792400000,52.96,53.4,52.86,53.22,2809.4205
194,1625796000000,53.33,53.77,53.18,53.69,5211.3259
195,1625799600000,53.66,54.14,53.53,53.71,2402.9988
196,1625803200000,53.71,54.33,53.71,54.14,2880.9793
197,1625806800000,54.15,54.44,53.97,53.97,3548.7932
198,1625810400000,53.98,54.08,53.58,53.78,2166.218
199,1625814000000,53.77,54.12,53.69,54.08,1595.9453
200,1625817600000,54.02,54.26,53.52,54.08,5180.2824
201,1625821200000,54.1,54.88,53.99,54.59,1367.4212
202,1625824800000,54.59,54.67,54.23,54.39,819.1596
203,1625828400000,54.38,54.38,53.86,53.98,2443.4571
204,1625832000000,54.0,54.71,53.87,54.69,3758.6983
205,1625835600000,54.68,55.03,54.6,54.8,4355.2071
206,1625839200000,54.87,55.28,54.67,55.24,1758.7118
207,1625842800000,55.18,55.55,55.0,55.38,2396.4215
208,1625846400000,55.3,55.54,55.0,55.09,843.4129
209,1625850000000,55.02,55.28,55.02,55.12,964.8059
210,1625853600000,55.06,55.12,54.75,54.87,525.1957
211,1625857200000,54.81,54.92,54.69,54.82,2581.728
212,1625860800000,54.82,54.96,54.7,54.92,2875.0723
213,1625864400000,54.93,55.52,54.68,55.15,667.6665
214,1625868000000,55.23,55.49,55.22,55.48,651.5222
