,datetime,open,high,low,close,volume
0,1625097600000,0.5799,0.583,0.5638,0.5754,79439.65
1,1625101200000,0.5767,0.597,0.5767,0.5908,63966.84
2,1625104800000,0.593,0.593,0.5646,0.5671,81103.08
3,1625108400000,0.566,0.5706,0.5589,0.5627,49654.28
4,1625112000000,0.5621,0.5666,0.5566,0.5656,32080.4
5,1625115600000,0.567,0.5804,0.5598,0.5781,77391.87
6,1625119200000,0.5765,0.5842,0.5468,0.5468,136857.08
7,1625122800000,0.5492,0.5558,0.5428,0.5428,31358.3
8,1625126400000,0.5428,0.5514,0.5379,0.5431,44838.66
9,1625130000000,0.5414,0.5443,0.5287,0.5322,63509.69
10,1625133600000,0.5323,0.5356,0.5268,0.5302,81379.78
11,1625137200000,0.5318,0.5475,0.5318,0.5475,33085.06
12,1625140800000,0.5458,0.5467,0.5373,0.5394,18792.29
13,1625144400000,0.5389,0.5459,0.5345,0.5345,52421.48
14,1625148000000,0.5345,0.541,0.5287,0.5339,27925.44
15,1625151600000,0.5341,0.543,0.5341,0.5388,28035.44
16,1625155200000,0.5394,0.5401,0.5306,0.5306,27693.86
17,1625158800000,0.5302,0.5367,0.5266,0.5367,24964.55
18,1625162400000,0.5367,0.5403,0.5321,0.5343,15391.39
19,1625166000000,0.5356,0.5356,0.5226,0.5299,23709.99
20,1625169600000,0.532,0.5405,0.532,0.5389,8003.48
21,1625173200000,0.5404,0.5489,0.5347,0.5489,32571.26
22,1625176800000,0.5497,0.5555,0.549,0.5528,21157.65
23,1625180400000,0.5556,0.5556,0.5455,0.5506,21208.12
24,1625184000000,0.5504,0.5597,0.5465,0.5521,24461.09
25,1625187600000,0.5525,0.5533,0.5306,0.5324,48650.39
26,1625191200000,0.5331,0.5393,0.5306,0.5345,21473.05
27,1625194800000,0.5331,0.5337,0.5202,0.5219,33993.17
28,1625198400000,0.5216,0.5292,0.5215,0.5255,12802.62
29,1625202000000,0.5271,0.5291,0.5164,0.517,12833.68
30,1625205600000,0.5178,0.5234,0.5121,0.5161,29775.14
31,1625209200000,0.5144,0.5256,0.5135,0.5256,10387.27
32,1625212800000,0.524,0.5297,0.521,0.523,13678.67
33,1625216400000,0.5223,0.5223,0.5124,0.5139,17522.52
34,1625220000000,0.5138,0.5177,0.5103,0.5154,11917.09
35,1625223600000,0.5156,0.5277,0.5156,0.524,33342.86
36,1625227200000,0.5223,0.5257,0.5161,0.5231,74756.76
37,1625230800000,0.5213,0.5299,0.5213,0.5297,13533.49
38,1625234400000,0.5298,0.5367,0.5237,0.5355,43705.66
39,1625238000000,0.5362,0.5367,0.5283,0.5348,14701.38
40,1625241600000,0.5383,0.5383,0.5298,0.5345,10593.17
41,1625245200000,0.5356,0.5395,0.5266,0.5303,13113.77
42,1625248800000,0.5295,0.5295,0.5245,0.5266,7120.59
43,1625252400000,0.5247,0.5287,0.5238,0.5282,5260.94
44,1625256000000,0.5266,0.5278,0.5216,0.5241,8496.25
45,1625259600000,0.524,0.5338,0.524,0.5263,4863.56
46,1625263200000,0.5272,0.5377,0.5262,0.5365,21307.8
47,1625266800000,0.5365,0.5402,0.5342,0.5402,4707.12
48,1625270400000,0.5391,0.5391,0.5315,0.5315,19317.42
49,1625274000000,0.5345,0.539,0.5325,0.5381,13390.14
50,1625277600000,0.5373,0.5373,0.532,0.5336,14554.77
51,1625281200000,0.532,0.5356,0.53,0.5356,4109.32
52,1625284800000,0.5362,0.5363,0.5319,0.5319,3013.4
53,1625288400000,0.5321,0.5356,0.5315,0.5347,13895.65
54,1625292000000,0.536,0.536,0.5312,0.5315,4079.7
55,1625295600000,0.5313,0.5496,0.53,0.5461,32720.98
56,1625299200000,0.5469,0.55,0.546,0.55,8494.63
57,1625302800000,0.5511,0.5533,0.5489,0.553,11831.45
58,1625306400000,0.5507,0.5511,0.5478,0.5496,5093.55
59,1625310000000,0.5482,0.5497,0.5452,0.5475,13113.56
60,1625313600000,0.5468,0.5519,0.5467,0.5476,18152.87
61,1625317200000,0.549,0.5491,0.546,0.5473,6869.09
62,1625320800000,0.5495,0.5521,0.549,0.5501,10489.38
63,1625324400000,0.552,0.5552,0.5504,0.5552,10989.16
64,1625328000000,0.5554,0.5565,0.5511,0.5524,9738.55
65,1625331600000,0.5504,0.5577,0.5504,0.5568,4677.38
66,1625335200000,0.5579,0.5579,0.5537,0.5543,3358.15
67,1625338800000,0.5526,0.5599,0.5526,0.5599,9058.59
68,1625342400000,0.5606,0.5661,0.5578,0.5656,35841.28
69,1625346000000,0.5661,0.5736,0.5611,0.5611,30843.2
70,1625349600000,0.5609,0.5675,0.5566,0.5608,61589.57
71,1625353200000,0.5593,0.5621,0.5545,0.562,15809.61
72,1625356800000,0.5611,0.5621,0.547,0.5475,10856.9
73,1625360400000,0.5473,0.5476,0.5412,0.5425,15496.7
74,1625364000000,0.5416,0.5487,0.5415,0.5487,4433.91
75,1625367600000,0.5478,0.5559,0.5478,0.5482,18693.6
76,1625371200000,0.5489,0.568,0.5489,0.5639,44747.76
77,1625374800000,0.5645,0.5722,0.5604,0.5705,131112.82
78,1625378400000,0.5706,0.5741,0.5669,0.5708,55404.87
79,1625382000000,0.5707,0.5829,0.5691,0.5824,117793.64
80,1625385600000,0.5816,0.5825,0.5721,0.5743,21980.06
81,1625389200000,0.5743,0.5777,0.5672,0.5753,41666.76
82,1625392800000,0.5741,0.5789,0.5721,0.578,21952.41
83,1625396400000,0.5781,0.5812,0.5749,0.5775,34892.26
84,1625400000000,0.5758,0.5765,0.5625,0.5673,47837.07
85,1625403600000,0.5661,0.572,0.5638,0.5694,27592.18
