,datetime,open,high,low,close,volume
0,1593561600000,5.7252,5.7252,5.6964,5.705,217.46
1,1593565200000,5.7124,5.7124,5.6953,5.7098,430.79
2,1593568800000,5.7078,5.7245,5.7031,5.7052,281.48
3,1593572400000,5.7094,5.7461,5.6689,5.7209,544.33
4,1593576000000,5.723,5.723,5.6989,5.7047,182.14
5,1593579600000,5.7064,5.7276,5.7038,5.7154,615.0
6,1593583200000,5.7103,5.7142,5.6271,5.6758,2976.19
7,1593586800000,5.6722,5.6925,5.6568,5.6568,279.02
8,1593590400000,5.6731,5.7204,5.6731,5.7064,800.18
9,1593594000000,5.7102,5.7123,5.6905,5.6972,482.06
10,1593597600000,5.6984,5.7004,5.694,5.6979,290.03
11,1593601200000,5.6908,5.6937,5.686,5.6885,170.21
12,1593604800000,5.6951,5.7067,5.6932,5.7067,54.61
13,1593608400000,5.7046,5.7566,5.6971,5.7225,571.98
14,1593612000000,5.7242,5.7569,5.7242,5.7356,203.25
15,1593615600000,5.7303,5.7546,5.7279,5.7539,348.65
16,1593619200000,5.7578,5.7811,5.738,5.7529,1539.25
17,1593622800000,5.7495,5.7569,5.7445,5.7534,181.47
18,1593626400000,5.7527,5.7527,5.7385,5.7385,214.82
19,1593630000000,5.7329,5.7544,5.7,5.7015,894.94
20,1593633600000,5.71,5.7531,5.71,5.7189,604.69
21,1593637200000,5.7198,5.7525,5.706,5.7153,3153.91
22,1593640800000,5.7105,5.7226,5.695,5.7226,1216.09
23,1593644400000,5.7202,5.7214,5.711,5.7143,183.89
24,1593648000000,5.7208,5.7385,5.7062,5.72,550.98
25,1593651600000,5.7268,5.7429,5.7251,5.7429,357.11
26,1593655200000,5.7423,5.76,5.7369,5.7436,344.47
27,1593658800000,5.7399,5.7482,5.7375,5.747,256.94
28,1593662400000,5.7482,5.7834,5.7482,5.7619,1109.32
29,1593666000000,5.7612,5.7815,5.7347,5.7372,232.45
30,1593669600000,5.7383,5.7472,5.7298,5.7372,278.05
31,1593673200000,5.7348,5.7513,5.7344,5.744,209.5
32,1593676800000,5.7398,5.7398,5.7116,5.7398,1000.36
33,1593680400000,5.7362,5.7479,5.7347,5.7347,53.55
34,1593684000000,5.7321,5.7341,5.7027,5.7027,389.58
35,1593687600000,5.7067,5.7072,5.7037,5.7072,41.2
36,1593691200000,5.7132,5.7486,5.7031,5.739,268.62
37,1593694800000,5.7427,5.7684,5.7403,5.7484,863.85
38,1593698400000,5.7528,5.7557,5.7318,5.7321,691.08
39,1593702000000,5.7275,5.7275,5.6052,5.6095,3499.98
40,1593705600000,5.6171,5.6241,5.547,5.6027,1790.43
41,1593709200000,5.6026,5.6212,5.5808,5.6178,287.55
42,1593712800000,5.6157,5.6263,5.5937,5.6124,599.44
43,1593716400000,5.6093,5.6362,5.5865,5.597,624.31
44,1593720000000,5.589,5.63,5.5845,5.6203,1585.26
45,1593723600000,5.6219,5.69,5.6164,5.6712,1342.3
46,1593727200000,5.6615,5.6654,5.6306,5.6494,1907.46
47,1593730800000,5.6479,5.6553,5.6174,5.6388,1048.28
48,1593734400000,5.6341,5.6427,5.6239,5.6385,166.63
49,1593738000000,5.6563,5.6616,5.6444,5.6519,1847.47
50,1593741600000,5.6495,5.6511,5.6363,5.6363,476.04
51,1593745200000,5.6376,5.6376,5.6307,5.6332,94.69
52,1593748800000,5.6367,5.6367,5.6213,5.6267,108.83
53,1593752400000,5.632,5.6674,5.5999,5.6529,3754.97
54,1593756000000,5.6585,5.7027,5.6304,5.6459,2276.14
55,1593759600000,5.6459,5.6852,5.6411,5.6815,507.03
56,1593763200000,5.6764,5.7244,5.6764,5.69,652.25
57,1593766800000,5.6856,5.7082,5.666,5.666,159.98
58,1593770400000,5.6735,5.6902,5.6645,5.6789,148.14
59,1593774000000,5.6755,5.6897,5.6712,5.6887,311.87
60,1593777600000,5.6905,5.6938,5.6759,5.6759,68.94
61,1593781200000,5.6903,5.7022,5.6903,5.7022,44.02
62,1593784800000,5.6999,5.7056,5.6821,5.6822,133.25
63,1593788400000,5.685,5.699,5.685,5.696,218.88
64,1593792000000,5.7029,5.7279,5.6833,5.6855,806.43
65,1593795600000,5.6836,5.6959,5.6783,5.6833,832.66
66,1593799200000,5.6729,5.6914,5.6664,5.6914,159.66
67,1593802800000,5.6672,5.6738,5.6621,5.6738,288.93
68,1593806400000,5.6689,5.6784,5.6595,5.6784,104.12
69,1593810000000,5.679,5.6877,5.679,5.6877,28.9
70,1593813600000,5.6884,5.6893,5.6884,5.6893,8.76
71,1593817200000,5.6729,5.6729,5.6372,5.6581,220.82
72,1593820800000,5.646,5.6707,5.6371,5.6697,1095.61
73,1593824400000,5.6607,5.666,5.6488,5.657,1243.73
74,1593828000000,5.6597,5.7151,5.6586,5.6892,611.19
75,1593831600000,5.6983,5.7046,5.6893,5.6931,140.54
76,1593835200000,5.6968,5.7061,5.6895,5.6904,250.67
77,1593838800000,5.6969,5.6969,5.673,5.678,727.23
78,1593842400000,5.681,5.6813,5.6718,5.6724,31.42
79,1593846000000,5.6827,5.6842,5.6795,5.6814,38.73
80,1593849600000,5.6775,5.6855,5.6775,5.6844,24.3
81,1593853200000,5.6806,5.6812,5.6739,5.6806,390.1
82,1593856800000,5.6724,5.6724,5.6551,5.6615,195.41
83,1593860400000,5.6607,5.6759,5.6592,5.6592,113.61
84,1593864000000,5.6588,5.6657,5.6508,5.6657,166.04
85,1593867600000,5.6697,5.6893,5.6697,5.6893,452.19
86,1593871200000,5.6832,5.685,5.6703,5.6705,113.56
87,1593874800000,5.6724,5.6763,5.6376,5.6588,1339.02
88,1593878400000,5.6569,5.6669,5.6525,5.6584,646.01
89,1593882000000,5.6635,5.748,5.6635,5.726,2651.11
90,1593885600000,5.7346,5.7346,5.6964,5.6991,384.81
91,1593889200000,5.7069,5.7069,5.6919,5.7008,81.36
92,1593892800000,5.7065,5.7107,5.6869,5.6879,77.65
93,1593896400000,5.6886,5.6886,5.6652,5.6728,218.99
94,1593900000000,5.6824,5.7051,5.6824,5.7011,640.61
95,1593903600000,5.6978,5.6978,5.6764,5.6788,62.62
96,1593907200000,5.7044,5.7178,5.6879,5.6945,1118.23
97,1593910800000,5.6985,5.7024,5.6849,5.7005,480.2
98,1593914400000,5.703,5.703,5.68,5.68,1167.36
99,1593918000000,5.6856,5.6936,5.68,5.6827,2073.85
100,1593921600000,5.6849,5.6849,5.6736,5.6839,106.76
101,1593925200000,5.6872,5.6872,5.6166,5.6166,1978.34
102,1593928800000,5.6371,5.662,5.6371,5.6427,178.61
103,1593932400000,5.6355,5.6552,5.6342,5.6473,121.32
104,1593936000000,5.64,5.6442,5.6252,5.6379,295.71
